,Column Name,Label,Table Name,Table Description
56,S1702_C01_025E,Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
57,S1702_C01_026E,Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
58,S1702_C01_027E,Estimate!!Total!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
59,S1702_C01_028E,Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
60,S1702_C01_029E,Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
61,S1702_C01_030E,Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
62,S1702_C01_031E,Estimate!!Total!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
63,S1702_C01_032E,Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
64,S1702_C01_033E,Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
65,S1702_C01_034E,Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
66,S1702_C01_035E,Estimate!!Total!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
67,S1702_C01_036E,Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
68,S1702_C01_037E,Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
69,S1702_C01_038E,Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
70,S1702_C01_039E,Estimate!!Total!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
71,S1702_C01_040E,Estimate!!Total!!All families!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
72,S1702_C01_041E,Estimate!!Total!!All families!!Families!!TENURE!!Owner occupied,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
73,S1702_C01_042E,Estimate!!Total!!All families!!Families!!TENURE!!Renter Occupied,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
74,S1702_C01_043E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
75,S1702_C01_044E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
76,S1702_C01_045E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
77,S1702_C01_046E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
78,S1702_C01_047E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
79,S1702_C01_048E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
80,S1702_C01_049E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
81,S1702_C01_050E,Estimate!!Total!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
82,S1702_C02_001E,Estimate!!Percent below poverty level!!All families!!Families,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
83,S1702_C02_002E,Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
84,S1702_C02_003E,Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
85,S1702_C02_004E,Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
86,S1702_C02_005E,Estimate!!Percent below poverty level!!All families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
87,S1702_C02_006E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
88,S1702_C02_007E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
89,S1702_C02_008E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
90,S1702_C02_009E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
91,S1702_C02_010E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
92,S1702_C02_011E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
93,S1702_C02_012E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
94,S1702_C02_013E,Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
95,S1702_C02_014E,"Estimate!!Percent below poverty level!!All families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
96,S1702_C02_015E,Estimate!!Percent below poverty level!!All families!!Families!!Householder worked,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
97,S1702_C02_016E,"Estimate!!Percent below poverty level!!All families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
98,S1702_C02_017E,Estimate!!Percent below poverty level!!All families!!Families!!Householder 65 years and over,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
99,S1702_C02_018E,Estimate!!Percent below poverty level!!All families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
100,S1702_C02_019E,Estimate!!Percent below poverty level!!All families!!Families!!Family received --!!Social security income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
101,S1702_C02_020E,Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
102,S1702_C02_021E,Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
103,S1702_C02_022E,"Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
104,S1702_C02_023E,Estimate!!Percent below poverty level!!All families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
105,S1702_C02_024E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
106,S1702_C02_025E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
107,S1702_C02_026E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
108,S1702_C02_027E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
109,S1702_C02_028E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
110,S1702_C02_029E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
111,S1702_C02_030E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
112,S1702_C02_031E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
113,S1702_C02_032E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!2 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
114,S1702_C02_033E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
115,S1702_C02_034E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
116,S1702_C02_035E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
117,S1702_C02_036E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!No workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
118,S1702_C02_037E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!1 worker,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
119,S1702_C02_038E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!2 workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
120,S1702_C02_039E,Estimate!!Percent below poverty level!!All families!!Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
121,S1702_C02_040E,Estimate!!Percent below poverty level!!All families!!Families!!INCOME DEFICIT!!Mean income deficit for families (dollars),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
122,S1702_C02_041E,Estimate!!Percent below poverty level!!All families!!Families!!TENURE!!Owner occupied,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
123,S1702_C02_042E,Estimate!!Percent below poverty level!!All families!!Families!!TENURE!!Renter Occupied,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
124,S1702_C02_043E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
125,S1702_C02_044E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
126,S1702_C02_045E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
127,S1702_C02_046E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
128,S1702_C02_047E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
129,S1702_C02_048E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
130,S1702_C02_049E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
131,S1702_C02_050E,Estimate!!Percent below poverty level!!All families!!Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
132,S1702_C03_001E,Estimate!!Total!!Married-couple families!!Families,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
133,S1702_C03_002E,Estimate!!Total!!Married-couple families!!Families!!With related children of householder under 18 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
134,S1702_C03_003E,Estimate!!Total!!Married-couple families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
135,S1702_C03_004E,Estimate!!Total!!Married-couple families!!Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
136,S1702_C03_005E,Estimate!!Total!!Married-couple families!!Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
137,S1702_C03_006E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
138,S1702_C03_007E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
139,S1702_C03_008E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
140,S1702_C03_009E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
141,S1702_C03_010E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
142,S1702_C03_011E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
143,S1702_C03_012E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
144,S1702_C03_013E,Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
145,S1702_C03_014E,"Estimate!!Total!!Married-couple families!!Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
146,S1702_C03_015E,Estimate!!Total!!Married-couple families!!Families!!Householder worked,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
147,S1702_C03_016E,"Estimate!!Total!!Married-couple families!!Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
148,S1702_C03_017E,Estimate!!Total!!Married-couple families!!Families!!Householder 65 years and over,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
149,S1702_C03_018E,Estimate!!Total!!Married-couple families!!Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
150,S1702_C03_019E,Estimate!!Total!!Married-couple families!!Families!!Family received --!!Social security income in the past 12 months,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
151,S1702_C03_020E,Estimate!!Total!!Married-couple families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
152,S1702_C03_021E,Estimate!!Total!!Married-couple families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency),S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
153,S1702_C03_022E,"Estimate!!Total!!Married-couple families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree",S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
154,S1702_C03_023E,Estimate!!Total!!Married-couple families!!Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
155,S1702_C03_024E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
156,S1702_C03_025E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
157,S1702_C03_026E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
158,S1702_C03_027E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
159,S1702_C03_028E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
160,S1702_C03_029E,Estimate!!Total!!Married-couple families!!Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder,S1702,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES
