,Data Month,FIPS,State,State Name,County Name,Oct22 ACP Total Households
29466,2022-10-01,01059,AL,ALABAMA,FRANKLIN COUNTY,2311
29467,2022-10-01,01061,AL,ALABAMA,GENEVA COUNTY,2230
29468,2022-10-01,01063,AL,ALABAMA,GREENE COUNTY,572
29469,2022-10-01,01065,AL,ALABAMA,HALE COUNTY,1441
29470,2022-10-01,01067,AL,ALABAMA,HENRY COUNTY,777
29471,2022-10-01,01069,AL,ALABAMA,HOUSTON COUNTY,7107
29472,2022-10-01,01071,AL,ALABAMA,JACKSON COUNTY,2135
29473,2022-10-01,01073,AL,ALABAMA,JEFFERSON COUNTY,50021
29474,2022-10-01,01075,AL,ALABAMA,LAMAR COUNTY,827
29475,2022-10-01,01077,AL,ALABAMA,LAUDERDALE COUNTY,3759
29476,2022-10-01,01079,AL,ALABAMA,LAWRENCE COUNTY,2176
29477,2022-10-01,01081,AL,ALABAMA,LEE COUNTY,8241
29478,2022-10-01,01083,AL,ALABAMA,LIMESTONE COUNTY,4098
29479,2022-10-01,01085,AL,ALABAMA,LOWNDES COUNTY,941
29480,2022-10-01,01087,AL,ALABAMA,MACON COUNTY,1972
29481,2022-10-01,01089,AL,ALABAMA,MADISON COUNTY,10093
29482,2022-10-01,01091,AL,ALABAMA,MARENGO COUNTY,1578
29483,2022-10-01,01093,AL,ALABAMA,MARION COUNTY,1334
29484,2022-10-01,01095,AL,ALABAMA,MARSHALL COUNTY,7330
29485,2022-10-01,01097,AL,ALABAMA,MOBILE COUNTY,23272
29486,2022-10-01,01099,AL,ALABAMA,MONROE COUNTY,970
29487,2022-10-01,01101,AL,ALABAMA,MONTGOMERY COUNTY,24982
29488,2022-10-01,01103,AL,ALABAMA,MORGAN COUNTY,7795
29489,2022-10-01,01105,AL,ALABAMA,PERRY COUNTY,1439
29490,2022-10-01,01107,AL,ALABAMA,PICKENS COUNTY,983
29491,2022-10-01,01109,AL,ALABAMA,PIKE COUNTY,1883
29492,2022-10-01,01111,AL,ALABAMA,RANDOLPH COUNTY,1349
29493,2022-10-01,01113,AL,ALABAMA,RUSSELL COUNTY,3062
29494,2022-10-01,01115,AL,ALABAMA,ST. CLAIR COUNTY,3035
29495,2022-10-01,01117,AL,ALABAMA,SHELBY COUNTY,5613
29496,2022-10-01,01119,AL,ALABAMA,SUMTER COUNTY,1008
29497,2022-10-01,01121,AL,ALABAMA,TALLADEGA COUNTY,7035
29498,2022-10-01,01123,AL,ALABAMA,TALLAPOOSA COUNTY,3814
29499,2022-10-01,01125,AL,ALABAMA,TUSCALOOSA COUNTY,8521
29500,2022-10-01,01127,AL,ALABAMA,WALKER COUNTY,4259
29501,2022-10-01,01129,AL,ALABAMA,WASHINGTON COUNTY,828
29502,2022-10-01,01131,AL,ALABAMA,WILCOX COUNTY,1038
29503,2022-10-01,01133,AL,ALABAMA,WINSTON COUNTY,857
29504,2022-10-01,01,AL,ALABAMA,**NOT AVAILABLE**,108
29505,2022-10-01,02013,AK,ALASKA,ALEUTIANS EAST BOROUGH,10
29506,2022-10-01,02016,AK,ALASKA,ALEUTIANS WEST CENSUS AREA,1
29507,2022-10-01,02020,AK,ALASKA,ANCHORAGE MUNICIPALITY,6144
29508,2022-10-01,02050,AK,ALASKA,BETHEL CENSUS AREA,146
29509,2022-10-01,02060,AK,ALASKA,BRISTOL BAY BOROUGH,5
29510,2022-10-01,02063,AK,ALASKA,CHUGACH CENSUS AREA,84
29511,2022-10-01,02066,AK,ALASKA,COPPER RIVER CENSUS AREA,28
29512,2022-10-01,02068,AK,ALASKA,DENALI BOROUGH,8
29513,2022-10-01,02070,AK,ALASKA,DILLINGHAM CENSUS AREA,108
29514,2022-10-01,02090,AK,ALASKA,FAIRBANKS NORTH STAR BOROUGH,1328
29515,2022-10-01,02100,AK,ALASKA,HAINES BOROUGH,93
29516,2022-10-01,02105,AK,ALASKA,HOONAH-ANGOON CENSUS AREA,31
29517,2022-10-01,02110,AK,ALASKA,JUNEAU CITY AND BOROUGH,450
29518,2022-10-01,02122,AK,ALASKA,KENAI PENINSULA BOROUGH,1026
29519,2022-10-01,02130,AK,ALASKA,KETCHIKAN GATEWAY BOROUGH,206
29520,2022-10-01,02150,AK,ALASKA,KODIAK ISLAND BOROUGH,173
29521,2022-10-01,02158,AK,ALASKA,KUSILVAK CENSUS AREA,32
29522,2022-10-01,02164,AK,ALASKA,LAKE AND PENINSULA BOROUGH,10
29523,2022-10-01,02170,AK,ALASKA,MATANUSKA-SUSITNA BOROUGH,1421
29524,2022-10-01,02180,AK,ALASKA,NOME CENSUS AREA,49
29525,2022-10-01,02185,AK,ALASKA,NORTH SLOPE BOROUGH,19
29526,2022-10-01,02188,AK,ALASKA,NORTHWEST ARCTIC BOROUGH,55
29527,2022-10-01,02195,AK,ALASKA,PETERSBURG CENSUS AREA,49
29528,2022-10-01,02198,AK,ALASKA,PRINCE OF WALES-HYDER CENSUS AREA,208
29529,2022-10-01,02220,AK,ALASKA,SITKA CITY AND BOROUGH,154
29530,2022-10-01,02230,AK,ALASKA,SKAGWAY MUNICIPALITY,13
29531,2022-10-01,02240,AK,ALASKA,SOUTHEAST FAIRBANKS CENSUS AREA,104
29532,2022-10-01,02261,AK,ALASKA,VALDEZ-CORDOVA CENSUS AREA,15
29533,2022-10-01,02270,AK,ALASKA,WADE HAMPTON CENSUS AREA,9
29534,2022-10-01,02275,AK,ALASKA,WRANGELL CITY AND BOROUGH,59
29535,2022-10-01,02282,AK,ALASKA,YAKUTAT CITY AND BOROUGH,2
29536,2022-10-01,02290,AK,ALASKA,YUKON-KOYUKUK CENSUS AREA,26
29537,2022-10-01,02,AK,ALASKA,**NOT AVAILABLE**,2
29538,2022-10-01,04001,AZ,ARIZONA,APACHE COUNTY,12998
29539,2022-10-01,04003,AZ,ARIZONA,COCHISE COUNTY,6463
29540,2022-10-01,04005,AZ,ARIZONA,COCONINO COUNTY,6019
29541,2022-10-01,04007,AZ,ARIZONA,GILA COUNTY,1547
29542,2022-10-01,04009,AZ,ARIZONA,GRAHAM COUNTY,955
29543,2022-10-01,04011,AZ,ARIZONA,GREENLEE COUNTY,124
29544,2022-10-01,04012,AZ,ARIZONA,LA PAZ COUNTY,422
29545,2022-10-01,04013,AZ,ARIZONA,MARICOPA COUNTY,169910
29546,2022-10-01,04015,AZ,ARIZONA,MOHAVE COUNTY,7870
29547,2022-10-01,04017,AZ,ARIZONA,NAVAJO COUNTY,12945
29548,2022-10-01,04019,AZ,ARIZONA,PIMA COUNTY,60178
29549,2022-10-01,04021,AZ,ARIZONA,PINAL COUNTY,14329
29550,2022-10-01,04023,AZ,ARIZONA,SANTA CRUZ COUNTY,2680
29551,2022-10-01,04025,AZ,ARIZONA,YAVAPAI COUNTY,4277
29552,2022-10-01,04027,AZ,ARIZONA,YUMA COUNTY,23350
29553,2022-10-01,04,AZ,ARIZONA,**NOT AVAILABLE**,146
29554,2022-10-01,05001,AR,ARKANSAS,ARKANSAS COUNTY,1100
29555,2022-10-01,05003,AR,ARKANSAS,ASHLEY COUNTY,982
29556,2022-10-01,05005,AR,ARKANSAS,BAXTER COUNTY,1032
29557,2022-10-01,05007,AR,ARKANSAS,BENTON COUNTY,6436
29558,2022-10-01,05009,AR,ARKANSAS,BOONE COUNTY,1673
29559,2022-10-01,05011,AR,ARKANSAS,BRADLEY COUNTY,480
29560,2022-10-01,05013,AR,ARKANSAS,CALHOUN COUNTY,201
29561,2022-10-01,05015,AR,ARKANSAS,CARROLL COUNTY,1067
29562,2022-10-01,05017,AR,ARKANSAS,CHICOT COUNTY,902
29563,2022-10-01,05019,AR,ARKANSAS,CLARK COUNTY,789
29564,2022-10-01,05021,AR,ARKANSAS,CLAY COUNTY,540
29565,2022-10-01,05023,AR,ARKANSAS,CLEBURNE COUNTY,814
29566,2022-10-01,05025,AR,ARKANSAS,CLEVELAND COUNTY,254
29567,2022-10-01,05027,AR,ARKANSAS,COLUMBIA COUNTY,1484
29568,2022-10-01,05029,AR,ARKANSAS,CONWAY COUNTY,953
29569,2022-10-01,05031,AR,ARKANSAS,CRAIGHEAD COUNTY,5368
29570,2022-10-01,05033,AR,ARKANSAS,CRAWFORD COUNTY,3770
29571,2022-10-01,05035,AR,ARKANSAS,CRITTENDEN COUNTY,4039
29572,2022-10-01,05037,AR,ARKANSAS,CROSS COUNTY,1111
29573,2022-10-01,05039,AR,ARKANSAS,DALLAS COUNTY,394
29574,2022-10-01,05041,AR,ARKANSAS,DESHA COUNTY,963
29575,2022-10-01,05043,AR,ARKANSAS,DREW COUNTY,965
29576,2022-10-01,05045,AR,ARKANSAS,FAULKNER COUNTY,3435
29577,2022-10-01,05047,AR,ARKANSAS,FRANKLIN COUNTY,617
29578,2022-10-01,05049,AR,ARKANSAS,FULTON COUNTY,328
29579,2022-10-01,05051,AR,ARKANSAS,GARLAND COUNTY,4640
29580,2022-10-01,05053,AR,ARKANSAS,GRANT COUNTY,552
29581,2022-10-01,05055,AR,ARKANSAS,GREENE COUNTY,2524
29582,2022-10-01,05057,AR,ARKANSAS,HEMPSTEAD COUNTY,1348
29583,2022-10-01,05059,AR,ARKANSAS,HOT SPRING COUNTY,1469
29584,2022-10-01,05061,AR,ARKANSAS,HOWARD COUNTY,587
29585,2022-10-01,05063,AR,ARKANSAS,INDEPENDENCE COUNTY,1185
29586,2022-10-01,05065,AR,ARKANSAS,IZARD COUNTY,353
29587,2022-10-01,05067,AR,ARKANSAS,JACKSON COUNTY,1225
29588,2022-10-01,05069,AR,ARKANSAS,JEFFERSON COUNTY,5452
29589,2022-10-01,05071,AR,ARKANSAS,JOHNSON COUNTY,937
29590,2022-10-01,05073,AR,ARKANSAS,LAFAYETTE COUNTY,376
29591,2022-10-01,05075,AR,ARKANSAS,LAWRENCE COUNTY,892
29592,2022-10-01,05077,AR,ARKANSAS,LEE COUNTY,838
29593,2022-10-01,05079,AR,ARKANSAS,LINCOLN COUNTY,424
29594,2022-10-01,05081,AR,ARKANSAS,LITTLE RIVER COUNTY,464
29595,2022-10-01,05083,AR,ARKANSAS,LOGAN COUNTY,760
29596,2022-10-01,05085,AR,ARKANSAS,LONOKE COUNTY,1995
29597,2022-10-01,05087,AR,ARKANSAS,MADISON COUNTY,345
29598,2022-10-01,05089,AR,ARKANSAS,MARION COUNTY,494
29599,2022-10-01,05091,AR,ARKANSAS,MILLER COUNTY,2522
29600,2022-10-01,05093,AR,ARKANSAS,MISSISSIPPI COUNTY,3605
29601,2022-10-01,05095,AR,ARKANSAS,MONROE COUNTY,692
29602,2022-10-01,05097,AR,ARKANSAS,MONTGOMERY COUNTY,341
29603,2022-10-01,05099,AR,ARKANSAS,NEVADA COUNTY,453
29604,2022-10-01,05101,AR,ARKANSAS,NEWTON COUNTY,168
29605,2022-10-01,05103,AR,ARKANSAS,OUACHITA COUNTY,1629
29606,2022-10-01,05105,AR,ARKANSAS,PERRY COUNTY,417
29607,2022-10-01,05107,AR,ARKANSAS,PHILLIPS COUNTY,1861
29608,2022-10-01,05109,AR,ARKANSAS,PIKE COUNTY,408
29609,2022-10-01,05111,AR,ARKANSAS,POINSETT COUNTY,1903
29610,2022-10-01,05113,AR,ARKANSAS,POLK COUNTY,675
29611,2022-10-01,05115,AR,ARKANSAS,POPE COUNTY,1839
29612,2022-10-01,05117,AR,ARKANSAS,PRAIRIE COUNTY,265
29613,2022-10-01,05119,AR,ARKANSAS,PULASKI COUNTY,21238
29614,2022-10-01,05121,AR,ARKANSAS,RANDOLPH COUNTY,796
29615,2022-10-01,05123,AR,ARKANSAS,ST. FRANCIS COUNTY,1888
29616,2022-10-01,05125,AR,ARKANSAS,SALINE COUNTY,2904
29617,2022-10-01,05127,AR,ARKANSAS,SCOTT COUNTY,449
29618,2022-10-01,05129,AR,ARKANSAS,SEARCY COUNTY,262
29619,2022-10-01,05131,AR,ARKANSAS,SEBASTIAN COUNTY,9615
29620,2022-10-01,05133,AR,ARKANSAS,SEVIER COUNTY,695
29621,2022-10-01,05135,AR,ARKANSAS,SHARP COUNTY,666
29622,2022-10-01,05137,AR,ARKANSAS,STONE COUNTY,319
29623,2022-10-01,05139,AR,ARKANSAS,UNION COUNTY,2114
29624,2022-10-01,05141,AR,ARKANSAS,VAN BUREN COUNTY,504
29625,2022-10-01,05143,AR,ARKANSAS,WASHINGTON COUNTY,8144
29626,2022-10-01,05145,AR,ARKANSAS,WHITE COUNTY,3093
29627,2022-10-01,05147,AR,ARKANSAS,WOODRUFF COUNTY,568
29628,2022-10-01,05149,AR,ARKANSAS,YELL COUNTY,475
29629,2022-10-01,05,AR,ARKANSAS,**NOT AVAILABLE**,122
29630,2022-10-01,06001,CA,CALIFORNIA,ALAMEDA COUNTY,41901
29631,2022-10-01,06003,CA,CALIFORNIA,ALPINE COUNTY,2
29632,2022-10-01,06005,CA,CALIFORNIA,AMADOR COUNTY,798
29633,2022-10-01,06007,CA,CALIFORNIA,BUTTE COUNTY,9670
29634,2022-10-01,06009,CA,CALIFORNIA,CALAVERAS COUNTY,992
29635,2022-10-01,06011,CA,CALIFORNIA,COLUSA COUNTY,541
29636,2022-10-01,06013,CA,CALIFORNIA,CONTRA COSTA COUNTY,23683
29637,2022-10-01,06015,CA,CALIFORNIA,DEL NORTE COUNTY,1977
29638,2022-10-01,06017,CA,CALIFORNIA,EL DORADO COUNTY,3601
29639,2022-10-01,06019,CA,CALIFORNIA,FRESNO COUNTY,63375
29640,2022-10-01,06021,CA,CALIFORNIA,GLENN COUNTY,993
29641,2022-10-01,06023,CA,CALIFORNIA,HUMBOLDT COUNTY,4462
29642,2022-10-01,06025,CA,CALIFORNIA,IMPERIAL COUNTY,17971
29643,2022-10-01,06027,CA,CALIFORNIA,INYO COUNTY,290
29644,2022-10-01,06029,CA,CALIFORNIA,KERN COUNTY,73287
29645,2022-10-01,06031,CA,CALIFORNIA,KINGS COUNTY,7598
29646,2022-10-01,06033,CA,CALIFORNIA,LAKE COUNTY,3604
29647,2022-10-01,06035,CA,CALIFORNIA,LASSEN COUNTY,462
29648,2022-10-01,06037,CA,CALIFORNIA,LOS ANGELES COUNTY,594136
29649,2022-10-01,06039,CA,CALIFORNIA,MADERA COUNTY,7472
29650,2022-10-01,06041,CA,CALIFORNIA,MARIN COUNTY,3175
29651,2022-10-01,06043,CA,CALIFORNIA,MARIPOSA COUNTY,486
29652,2022-10-01,06045,CA,CALIFORNIA,MENDOCINO COUNTY,2747
29653,2022-10-01,06047,CA,CALIFORNIA,MERCED COUNTY,15565
29654,2022-10-01,06049,CA,CALIFORNIA,MODOC COUNTY,262
29655,2022-10-01,06051,CA,CALIFORNIA,MONO COUNTY,43
29656,2022-10-01,06053,CA,CALIFORNIA,MONTEREY COUNTY,12149
29657,2022-10-01,06055,CA,CALIFORNIA,NAPA COUNTY,1890
29658,2022-10-01,06057,CA,CALIFORNIA,NEVADA COUNTY,1820
29659,2022-10-01,06059,CA,CALIFORNIA,ORANGE COUNTY,113964
29660,2022-10-01,06061,CA,CALIFORNIA,PLACER COUNTY,5663
29661,2022-10-01,06063,CA,CALIFORNIA,PLUMAS COUNTY,359
29662,2022-10-01,06065,CA,CALIFORNIA,RIVERSIDE COUNTY,123266
29663,2022-10-01,06067,CA,CALIFORNIA,SACRAMENTO COUNTY,71378
29664,2022-10-01,06069,CA,CALIFORNIA,SAN BENITO COUNTY,1593
29665,2022-10-01,06071,CA,CALIFORNIA,SAN BERNARDINO COUNTY,136683
29666,2022-10-01,06073,CA,CALIFORNIA,SAN DIEGO COUNTY,129779
29667,2022-10-01,06075,CA,CALIFORNIA,SAN FRANCISCO COUNTY,30997
29668,2022-10-01,06077,CA,CALIFORNIA,SAN JOAQUIN COUNTY,35165
29669,2022-10-01,06079,CA,CALIFORNIA,SAN LUIS OBISPO COUNTY,7694
29670,2022-10-01,06081,CA,CALIFORNIA,SAN MATEO COUNTY,8812
29671,2022-10-01,06083,CA,CALIFORNIA,SANTA BARBARA COUNTY,13206
29672,2022-10-01,06085,CA,CALIFORNIA,SANTA CLARA COUNTY,38603
29673,2022-10-01,06087,CA,CALIFORNIA,SANTA CRUZ COUNTY,7226
29674,2022-10-01,06089,CA,CALIFORNIA,SHASTA COUNTY,10825
29675,2022-10-01,06091,CA,CALIFORNIA,SIERRA COUNTY,40
29676,2022-10-01,06093,CA,CALIFORNIA,SISKIYOU COUNTY,1903
29677,2022-10-01,06095,CA,CALIFORNIA,SOLANO COUNTY,11846
29678,2022-10-01,06097,CA,CALIFORNIA,SONOMA COUNTY,8894
29679,2022-10-01,06099,CA,CALIFORNIA,STANISLAUS COUNTY,26854
29680,2022-10-01,06101,CA,CALIFORNIA,SUTTER COUNTY,4508
29681,2022-10-01,06103,CA,CALIFORNIA,TEHAMA COUNTY,3426
29682,2022-10-01,06105,CA,CALIFORNIA,TRINITY COUNTY,178
29683,2022-10-01,06107,CA,CALIFORNIA,TULARE COUNTY,28830
29684,2022-10-01,06109,CA,CALIFORNIA,TUOLUMNE COUNTY,1310
29685,2022-10-01,06111,CA,CALIFORNIA,VENTURA COUNTY,29797
29686,2022-10-01,06113,CA,CALIFORNIA,YOLO COUNTY,6095
29687,2022-10-01,06115,CA,CALIFORNIA,YUBA COUNTY,4866
29688,2022-10-01,06,CA,CALIFORNIA,**NOT AVAILABLE**,78
29689,2022-10-01,08001,CO,COLORADO,ADAMS COUNTY,15650
29690,2022-10-01,08003,CO,COLORADO,ALAMOSA COUNTY,1590
29691,2022-10-01,08005,CO,COLORADO,ARAPAHOE COUNTY,16426
29692,2022-10-01,08007,CO,COLORADO,ARCHULETA COUNTY,119
29693,2022-10-01,08009,CO,COLORADO,BACA COUNTY,89
29694,2022-10-01,08011,CO,COLORADO,BENT COUNTY,346
29695,2022-10-01,08013,CO,COLORADO,BOULDER COUNTY,6111
29696,2022-10-01,08014,CO,COLORADO,BROOMFIELD COUNTY,764
29697,2022-10-01,08015,CO,COLORADO,CHAFFEE COUNTY,480
29698,2022-10-01,08017,CO,COLORADO,CHEYENNE COUNTY,13
29699,2022-10-01,08019,CO,COLORADO,CLEAR CREEK COUNTY,173
29700,2022-10-01,08021,CO,COLORADO,CONEJOS COUNTY,277
29701,2022-10-01,08023,CO,COLORADO,COSTILLA COUNTY,241
29702,2022-10-01,08025,CO,COLORADO,CROWLEY COUNTY,169
29703,2022-10-01,08027,CO,COLORADO,CUSTER COUNTY,52
29704,2022-10-01,08029,CO,COLORADO,DELTA COUNTY,1168
29705,2022-10-01,08031,CO,COLORADO,DENVER COUNTY,30854
29706,2022-10-01,08033,CO,COLORADO,DOLORES COUNTY,23
29707,2022-10-01,08035,CO,COLORADO,DOUGLAS COUNTY,2168
29708,2022-10-01,08037,CO,COLORADO,EAGLE COUNTY,199
29709,2022-10-01,08039,CO,COLORADO,ELBERT COUNTY,148
29710,2022-10-01,08041,CO,COLORADO,EL PASO COUNTY,22737
29711,2022-10-01,08043,CO,COLORADO,FREMONT COUNTY,2960
29712,2022-10-01,08045,CO,COLORADO,GARFIELD COUNTY,878
29713,2022-10-01,08047,CO,COLORADO,GILPIN COUNTY,62
29714,2022-10-01,08049,CO,COLORADO,GRAND COUNTY,103
29715,2022-10-01,08051,CO,COLORADO,GUNNISON COUNTY,312
29716,2022-10-01,08053,CO,COLORADO,HINSDALE COUNTY,2
29717,2022-10-01,08055,CO,COLORADO,HUERFANO COUNTY,640
29718,2022-10-01,08057,CO,COLORADO,JACKSON COUNTY,12
29719,2022-10-01,08059,CO,COLORADO,JEFFERSON COUNTY,11625
29720,2022-10-01,08061,CO,COLORADO,KIOWA COUNTY,17
29721,2022-10-01,08063,CO,COLORADO,KIT CARSON COUNTY,100
29722,2022-10-01,08065,CO,COLORADO,LAKE COUNTY,252
29723,2022-10-01,08067,CO,COLORADO,LA PLATA COUNTY,1183
29724,2022-10-01,08069,CO,COLORADO,LARIMER COUNTY,7383
29725,2022-10-01,08071,CO,COLORADO,LAS ANIMAS COUNTY,1106
29726,2022-10-01,08073,CO,COLORADO,LINCOLN COUNTY,71
29727,2022-10-01,08075,CO,COLORADO,LOGAN COUNTY,1160
29728,2022-10-01,08077,CO,COLORADO,MESA COUNTY,9209
29729,2022-10-01,08079,CO,COLORADO,MINERAL COUNTY,5
29730,2022-10-01,08081,CO,COLORADO,MOFFAT COUNTY,553
29731,2022-10-01,08083,CO,COLORADO,MONTEZUMA COUNTY,717
29732,2022-10-01,08085,CO,COLORADO,MONTROSE COUNTY,1532
29733,2022-10-01,08087,CO,COLORADO,MORGAN COUNTY,1114
29734,2022-10-01,08089,CO,COLORADO,OTERO COUNTY,1931
29735,2022-10-01,08091,CO,COLORADO,OURAY COUNTY,18
29736,2022-10-01,08093,CO,COLORADO,PARK COUNTY,161
29737,2022-10-01,08095,CO,COLORADO,PHILLIPS COUNTY,61
29738,2022-10-01,08097,CO,COLORADO,PITKIN COUNTY,75
29739,2022-10-01,08099,CO,COLORADO,PROWERS COUNTY,910
29740,2022-10-01,08101,CO,COLORADO,PUEBLO COUNTY,13700
29741,2022-10-01,08103,CO,COLORADO,RIO BLANCO COUNTY,80
29742,2022-10-01,08105,CO,COLORADO,RIO GRANDE COUNTY,703
29743,2022-10-01,08107,CO,COLORADO,ROUTT COUNTY,95
29744,2022-10-01,08109,CO,COLORADO,SAGUACHE COUNTY,253
29745,2022-10-01,08111,CO,COLORADO,SAN JUAN COUNTY,1
29746,2022-10-01,08113,CO,COLORADO,SAN MIGUEL COUNTY,48
29747,2022-10-01,08115,CO,COLORADO,SEDGWICK COUNTY,45
29748,2022-10-01,08117,CO,COLORADO,SUMMIT COUNTY,166
29749,2022-10-01,08119,CO,COLORADO,TELLER COUNTY,309
29750,2022-10-01,08121,CO,COLORADO,WASHINGTON COUNTY,54
29751,2022-10-01,08123,CO,COLORADO,WELD COUNTY,7539
29752,2022-10-01,08125,CO,COLORADO,YUMA COUNTY,73
29753,2022-10-01,08,CO,COLORADO,**NOT AVAILABLE**,54
29754,2022-10-01,09001,CT,CONNECTICUT,FAIRFIELD COUNTY,20477
29755,2022-10-01,09003,CT,CONNECTICUT,HARTFORD COUNTY,40508
29756,2022-10-01,09005,CT,CONNECTICUT,LITCHFIELD COUNTY,4774
29757,2022-10-01,09007,CT,CONNECTICUT,MIDDLESEX COUNTY,3701
29758,2022-10-01,09009,CT,CONNECTICUT,NEW HAVEN COUNTY,39135
29759,2022-10-01,09011,CT,CONNECTICUT,NEW LONDON COUNTY,8545
29760,2022-10-01,09013,CT,CONNECTICUT,TOLLAND COUNTY,3695
29761,2022-10-01,09015,CT,CONNECTICUT,WINDHAM COUNTY,5311
29762,2022-10-01,09,CT,CONNECTICUT,**NOT AVAILABLE**,9
29763,2022-10-01,10001,DE,DELAWARE,KENT COUNTY,6407
29764,2022-10-01,10003,DE,DELAWARE,NEW CASTLE COUNTY,18078
29765,2022-10-01,10005,DE,DELAWARE,SUSSEX COUNTY,5729
29766,2022-10-01,10,DE,DELAWARE,**NOT AVAILABLE**,4
29767,2022-10-01,11001,DC,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,44048
29768,2022-10-01,12001,FL,FLORIDA,ALACHUA COUNTY,15552
29769,2022-10-01,12003,FL,FLORIDA,BAKER COUNTY,951
29770,2022-10-01,12005,FL,FLORIDA,BAY COUNTY,6781
29771,2022-10-01,12007,FL,FLORIDA,BRADFORD COUNTY,1195
29772,2022-10-01,12009,FL,FLORIDA,BREVARD COUNTY,32728
29773,2022-10-01,12011,FL,FLORIDA,BROWARD COUNTY,63280
29774,2022-10-01,12013,FL,FLORIDA,CALHOUN COUNTY,817
29775,2022-10-01,12015,FL,FLORIDA,CHARLOTTE COUNTY,4244
29776,2022-10-01,12017,FL,FLORIDA,CITRUS COUNTY,12479
29777,2022-10-01,12019,FL,FLORIDA,CLAY COUNTY,5067
29778,2022-10-01,12021,FL,FLORIDA,COLLIER COUNTY,5557
29779,2022-10-01,12023,FL,FLORIDA,COLUMBIA COUNTY,4093
29780,2022-10-01,12027,FL,FLORIDA,DESOTO COUNTY,1042
29781,2022-10-01,12029,FL,FLORIDA,DIXIE COUNTY,1113
29782,2022-10-01,12031,FL,FLORIDA,DUVAL COUNTY,50533
29783,2022-10-01,12033,FL,FLORIDA,ESCAMBIA COUNTY,21110
29784,2022-10-01,12035,FL,FLORIDA,FLAGLER COUNTY,5159
29785,2022-10-01,12037,FL,FLORIDA,FRANKLIN COUNTY,333
29786,2022-10-01,12039,FL,FLORIDA,GADSDEN COUNTY,3536
29787,2022-10-01,12041,FL,FLORIDA,GILCHRIST COUNTY,671
29788,2022-10-01,12043,FL,FLORIDA,GLADES COUNTY,332
29789,2022-10-01,12045,FL,FLORIDA,GULF COUNTY,504
29790,2022-10-01,12047,FL,FLORIDA,HAMILTON COUNTY,874
29791,2022-10-01,12049,FL,FLORIDA,HARDEE COUNTY,1226
29792,2022-10-01,12051,FL,FLORIDA,HENDRY COUNTY,2037
29793,2022-10-01,12053,FL,FLORIDA,HERNANDO COUNTY,14086
29794,2022-10-01,12055,FL,FLORIDA,HIGHLANDS COUNTY,4923
29795,2022-10-01,12057,FL,FLORIDA,HILLSBOROUGH COUNTY,98936
29796,2022-10-01,12059,FL,FLORIDA,HOLMES COUNTY,860
29797,2022-10-01,12061,FL,FLORIDA,INDIAN RIVER COUNTY,4615
29798,2022-10-01,12063,FL,FLORIDA,JACKSON COUNTY,3021
29799,2022-10-01,12065,FL,FLORIDA,JEFFERSON COUNTY,660
29800,2022-10-01,12067,FL,FLORIDA,LAFAYETTE COUNTY,302
