"Column Name","Label"
"S2201_C01_013M","Margin of Error!!Total!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_013MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_013EA","Annotation of Estimate!!Total!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_014E","Estimate!!Total!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C01_014M","Margin of Error!!Total!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C01_014MA","Annotation of Margin of Error!!Total!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C01_014EA","Annotation of Estimate!!Total!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C01_015E","Estimate!!Total!!Households!!No children under 18 years"
"S2201_C01_015M","Margin of Error!!Total!!Households!!No children under 18 years"
"S2201_C01_015MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years"
"S2201_C01_015EA","Annotation of Estimate!!Total!!Households!!No children under 18 years"
"S2201_C01_016E","Estimate!!Total!!Households!!No children under 18 years!!Married-couple family"
"S2201_C01_016M","Margin of Error!!Total!!Households!!No children under 18 years!!Married-couple family"
"S2201_C01_016MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years!!Married-couple family"
"S2201_C01_016EA","Annotation of Estimate!!Total!!Households!!No children under 18 years!!Married-couple family"
"S2201_C01_017E","Estimate!!Total!!Households!!No children under 18 years!!Other family:"
"S2201_C01_017M","Margin of Error!!Total!!Households!!No children under 18 years!!Other family:"
"S2201_C01_017MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years!!Other family:"
"S2201_C01_017EA","Annotation of Estimate!!Total!!Households!!No children under 18 years!!Other family:"
"S2201_C01_018E","Estimate!!Total!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_018M","Margin of Error!!Total!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_018MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_018EA","Annotation of Estimate!!Total!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C01_019E","Estimate!!Total!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_019M","Margin of Error!!Total!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_019MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_019EA","Annotation of Estimate!!Total!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C01_020E","Estimate!!Total!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C01_020M","Margin of Error!!Total!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C01_020MA","Annotation of Margin of Error!!Total!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C01_020EA","Annotation of Estimate!!Total!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C01_021E","Estimate!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C01_021M","Margin of Error!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C01_021MA","Annotation of Margin of Error!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C01_021EA","Annotation of Estimate!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C01_022E","Estimate!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C01_022EA","Annotation of Estimate!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C01_022M","Margin of Error!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C01_022MA","Annotation of Margin of Error!!Total!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C01_023E","Estimate!!Total!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C01_023M","Margin of Error!!Total!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C01_023MA","Annotation of Margin of Error!!Total!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C01_023EA","Annotation of Estimate!!Total!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C01_024E","Estimate!!Total!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C01_024M","Margin of Error!!Total!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C01_024MA","Annotation of Margin of Error!!Total!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C01_024EA","Annotation of Estimate!!Total!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C01_025E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C01_025M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C01_025MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C01_025EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C01_026E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C01_026M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C01_026MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C01_026EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C01_027E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C01_027M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C01_027MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C01_027EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C01_028E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Asian alone"
"S2201_C01_028M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Asian alone"
"S2201_C01_028MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Asian alone"
"S2201_C01_028EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Asian alone"
"S2201_C01_029E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Native Hawaiian and Other Pacific Islander alone"
"S2201_C01_029EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Native Hawaiian and Other Pacific Islander alone"
"S2201_C01_029M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Native Hawaiian and Other Pacific Islander alone"
"S2201_C01_029MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Native Hawaiian and Other Pacific Islander alone"
"S2201_C01_030E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Some other race alone"
"S2201_C01_030M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Some other race alone"
"S2201_C01_030MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Some other race alone"
"S2201_C01_030EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Some other race alone"
"S2201_C01_031E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races"
"S2201_C01_031EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races"
"S2201_C01_031M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races"
"S2201_C01_031MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Two or more races"
"S2201_C01_032E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin (of any race)"
"S2201_C01_032M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin (of any race)"
"S2201_C01_032MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin (of any race)"
"S2201_C01_032EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Hispanic or Latino origin (of any race)"
"S2201_C01_033E","Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino"
"S2201_C01_033EA","Annotation of Estimate!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino"
"S2201_C01_033M","Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino"
"S2201_C01_033MA","Annotation of Margin of Error!!Total!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone, not Hispanic or Latino"
"S2201_C01_034E","Estimate!!Total!!Households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median income (dollars)"
"S2201_C01_034M","Margin of Error!!Total!!Households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median income (dollars)"
"S2201_C01_034MA","Annotation of Margin of Error!!Total!!Households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median income (dollars)"
"S2201_C01_034EA","Annotation of Estimate!!Total!!Households!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median income (dollars)"
"S2201_C01_035E","Estimate!!Total!!WORK STATUS!!Families"
"S2201_C01_035M","Margin of Error!!Total!!WORK STATUS!!Families"
"S2201_C01_035MA","Annotation of Margin of Error!!Total!!WORK STATUS!!Families"
"S2201_C01_035EA","Annotation of Estimate!!Total!!WORK STATUS!!Families"
"S2201_C01_036E","Estimate!!Total!!WORK STATUS!!Families!!No workers in past 12 months"
"S2201_C01_036M","Margin of Error!!Total!!WORK STATUS!!Families!!No workers in past 12 months"
"S2201_C01_036MA","Annotation of Margin of Error!!Total!!WORK STATUS!!Families!!No workers in past 12 months"
"S2201_C01_036EA","Annotation of Estimate!!Total!!WORK STATUS!!Families!!No workers in past 12 months"
"S2201_C01_037E","Estimate!!Total!!WORK STATUS!!Families!!1 worker in past 12 months"
"S2201_C01_037M","Margin of Error!!Total!!WORK STATUS!!Families!!1 worker in past 12 months"
"S2201_C01_037MA","Annotation of Margin of Error!!Total!!WORK STATUS!!Families!!1 worker in past 12 months"
"S2201_C01_037EA","Annotation of Estimate!!Total!!WORK STATUS!!Families!!1 worker in past 12 months"
"S2201_C01_038E","Estimate!!Total!!WORK STATUS!!Families!!2 or more workers in past 12 months"
"S2201_C01_038M","Margin of Error!!Total!!WORK STATUS!!Families!!2 or more workers in past 12 months"
"S2201_C01_038MA","Annotation of Margin of Error!!Total!!WORK STATUS!!Families!!2 or more workers in past 12 months"
"S2201_C01_038EA","Annotation of Estimate!!Total!!WORK STATUS!!Families!!2 or more workers in past 12 months"
"S2201_C02_001E","Estimate!!Percent!!Households"
"S2201_C02_001M","Margin of Error!!Percent!!Households"
"S2201_C02_001MA","Annotation of Margin of Error!!Percent!!Households"
"S2201_C02_001EA","Annotation of Estimate!!Percent!!Households"
"S2201_C02_002E","Estimate!!Percent!!Households!!With one or more people in the household 60 years and over"
"S2201_C02_002M","Margin of Error!!Percent!!Households!!With one or more people in the household 60 years and over"
"S2201_C02_002MA","Annotation of Margin of Error!!Percent!!Households!!With one or more people in the household 60 years and over"
"S2201_C02_002EA","Annotation of Estimate!!Percent!!Households!!With one or more people in the household 60 years and over"
"S2201_C02_003E","Estimate!!Percent!!Households!!No people in the household 60 years and over"
"S2201_C02_003M","Margin of Error!!Percent!!Households!!No people in the household 60 years and over"
"S2201_C02_003MA","Annotation of Margin of Error!!Percent!!Households!!No people in the household 60 years and over"
"S2201_C02_003EA","Annotation of Estimate!!Percent!!Households!!No people in the household 60 years and over"
"S2201_C02_004E","Estimate!!Percent!!Households!!Married-couple family"
"S2201_C02_004M","Margin of Error!!Percent!!Households!!Married-couple family"
"S2201_C02_004MA","Annotation of Margin of Error!!Percent!!Households!!Married-couple family"
"S2201_C02_004EA","Annotation of Estimate!!Percent!!Households!!Married-couple family"
"S2201_C02_005E","Estimate!!Percent!!Households!!Other family:"
"S2201_C02_005M","Margin of Error!!Percent!!Households!!Other family:"
"S2201_C02_005MA","Annotation of Margin of Error!!Percent!!Households!!Other family:"
"S2201_C02_005EA","Annotation of Estimate!!Percent!!Households!!Other family:"
"S2201_C02_006E","Estimate!!Percent!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C02_006M","Margin of Error!!Percent!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C02_006MA","Annotation of Margin of Error!!Percent!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C02_006EA","Annotation of Estimate!!Percent!!Households!!Other family:!!Male householder, no spouse present"
"S2201_C02_007E","Estimate!!Percent!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C02_007EA","Annotation of Estimate!!Percent!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C02_007M","Margin of Error!!Percent!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C02_007MA","Annotation of Margin of Error!!Percent!!Households!!Other family:!!Female householder, no spouse present"
"S2201_C02_008E","Estimate!!Percent!!Households!!Nonfamily households"
"S2201_C02_008M","Margin of Error!!Percent!!Households!!Nonfamily households"
"S2201_C02_008MA","Annotation of Margin of Error!!Percent!!Households!!Nonfamily households"
"S2201_C02_008EA","Annotation of Estimate!!Percent!!Households!!Nonfamily households"
"S2201_C02_009E","Estimate!!Percent!!Households!!With children under 18 years"
"S2201_C02_009EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years"
"S2201_C02_009M","Margin of Error!!Percent!!Households!!With children under 18 years"
"S2201_C02_009MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years"
"S2201_C02_010E","Estimate!!Percent!!Households!!With children under 18 years!!Married-couple family"
"S2201_C02_010M","Margin of Error!!Percent!!Households!!With children under 18 years!!Married-couple family"
"S2201_C02_010MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years!!Married-couple family"
"S2201_C02_010EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years!!Married-couple family"
"S2201_C02_011E","Estimate!!Percent!!Households!!With children under 18 years!!Other family:"
"S2201_C02_011M","Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:"
"S2201_C02_011MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:"
"S2201_C02_011EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years!!Other family:"
"S2201_C02_012E","Estimate!!Percent!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_012M","Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_012MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_012EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_013E","Estimate!!Percent!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_013M","Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_013MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_013EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_014E","Estimate!!Percent!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C02_014M","Margin of Error!!Percent!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C02_014MA","Annotation of Margin of Error!!Percent!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C02_014EA","Annotation of Estimate!!Percent!!Households!!With children under 18 years!!Nonfamily households"
"S2201_C02_015E","Estimate!!Percent!!Households!!No children under 18 years"
"S2201_C02_015M","Margin of Error!!Percent!!Households!!No children under 18 years"
"S2201_C02_015MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years"
"S2201_C02_015EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years"
"S2201_C02_016E","Estimate!!Percent!!Households!!No children under 18 years!!Married-couple family"
"S2201_C02_016M","Margin of Error!!Percent!!Households!!No children under 18 years!!Married-couple family"
"S2201_C02_016MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years!!Married-couple family"
"S2201_C02_016EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years!!Married-couple family"
"S2201_C02_017E","Estimate!!Percent!!Households!!No children under 18 years!!Other family:"
"S2201_C02_017M","Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:"
"S2201_C02_017MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:"
"S2201_C02_017EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years!!Other family:"
"S2201_C02_018E","Estimate!!Percent!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_018EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_018M","Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_018MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:!!Male householder, no spouse present"
"S2201_C02_019E","Estimate!!Percent!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_019M","Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_019MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_019EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years!!Other family:!!Female householder, no spouse present"
"S2201_C02_020E","Estimate!!Percent!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C02_020M","Margin of Error!!Percent!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C02_020MA","Annotation of Margin of Error!!Percent!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C02_020EA","Annotation of Estimate!!Percent!!Households!!No children under 18 years!!Nonfamily households"
"S2201_C02_021E","Estimate!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C02_021M","Margin of Error!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C02_021MA","Annotation of Margin of Error!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C02_021EA","Annotation of Estimate!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level"
"S2201_C02_022E","Estimate!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C02_022M","Margin of Error!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C02_022MA","Annotation of Margin of Error!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C02_022EA","Annotation of Estimate!!Percent!!Households!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above  poverty level"
"S2201_C02_023E","Estimate!!Percent!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C02_023M","Margin of Error!!Percent!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C02_023MA","Annotation of Margin of Error!!Percent!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C02_023EA","Annotation of Estimate!!Percent!!Households!!DISABILITY STATUS!!With one or more people with a disability"
"S2201_C02_024E","Estimate!!Percent!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C02_024M","Margin of Error!!Percent!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C02_024MA","Annotation of Margin of Error!!Percent!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C02_024EA","Annotation of Estimate!!Percent!!Households!!DISABILITY STATUS!!With no persons with a disability"
"S2201_C02_025E","Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C02_025M","Margin of Error!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C02_025MA","Annotation of Margin of Error!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C02_025EA","Annotation of Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!White alone"
"S2201_C02_026E","Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C02_026M","Margin of Error!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C02_026MA","Annotation of Margin of Error!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C02_026EA","Annotation of Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Black or African American alone"
"S2201_C02_027E","Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C02_027EA","Annotation of Estimate!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
"S2201_C02_027M","Margin of Error!!Percent!!Households!!RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!American Indian and Alaska Native alone"
