"Age Category","Income Category","Race Category","Sex Category","Year","ID","Name","Demographic Group: Number","Demographic Group: MOE","Uninsured: Number","Uninsured: MOE","Uninsured: %","Uninsured: %MOE","Insured: Number","Insured: MOE","Insured: %","Insured: %MOE"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01055","Etowah County, AL","79,670","0","10,981","1,162","13.8","1.5","68,689","1,162","86.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01057","Fayette County, AL","12,359","0","1,702","226","13.8","1.8","10,657","226","86.2","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01059","Franklin County, AL","25,509","0","4,052","471","15.9","1.8","21,457","471","84.1","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01061","Geneva County, AL","20,421","0","3,073","361","15.0","1.8","17,348","361","85.0","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01063","Greene County, AL","5,660","0","655","101","11.6","1.8","5,005","101","88.4","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01065","Hale County, AL","11,135","0","1,267","180","11.4","1.6","9,868","180","88.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01067","Henry County, AL","12,865","0","1,547","205","12.0","1.6","11,318","205","88.0","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01069","Houston County, AL","84,214","0","11,411","1,073","13.6","1.3","72,803","1,073","86.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01071","Jackson County, AL","40,156","0","5,080","606","12.7","1.5","35,076","606","87.3","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01073","Jefferson County, AL","523,773","0","52,251","4,001","10.0","0.8","471,522","4,001","90.0","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01075","Lamar County, AL","10,425","0","1,257","172","12.1","1.6","9,168","172","87.9","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01077","Lauderdale County, AL","71,563","0","8,463","1,026","11.8","1.4","63,100","1,026","88.2","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01079","Lawrence County, AL","26,344","0","3,972","487","15.1","1.8","22,372","487","84.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01081","Lee County, AL","139,782","0","14,739","1,718","10.5","1.2","125,043","1,718","89.5","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01083","Limestone County, AL","83,409","0","10,130","1,156","12.1","1.4","73,279","1,156","87.9","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01085","Lowndes County, AL","7,243","0","845","117","11.7","1.6","6,398","117","88.3","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01087","Macon County, AL","11,925","0","1,575","231","13.2","1.9","10,350","231","86.8","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01089","Madison County, AL","312,163","0","30,958","2,874","9.9","0.9","281,205","2,874","90.1","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01091","Marengo County, AL","14,282","0","1,583","213","11.1","1.5","12,699","213","88.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01093","Marion County, AL","22,601","0","2,793","385","12.4","1.7","19,808","385","87.6","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01095","Marshall County, AL","78,410","0","11,931","1,092","15.2","1.4","66,479","1,092","84.8","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01097","Mobile County, AL","330,218","0","39,675","3,429","12.0","1.0","290,543","3,429","88.0","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01099","Monroe County, AL","15,456","0","2,066","293","13.4","1.9","13,390","293","86.6","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01101","Montgomery County, AL","174,415","0","21,230","2,065","12.2","1.2","153,185","2,065","87.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01103","Morgan County, AL","95,534","0","14,055","1,407","14.7","1.5","81,479","1,407","85.3","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01105","Perry County, AL","5,925","0","732","106","12.4","1.8","5,193","106","87.6","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01107","Pickens County, AL","13,707","0","1,717","226","12.5","1.6","11,990","226","87.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01109","Pike County, AL","25,395","0","3,164","467","12.5","1.8","22,231","467","87.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01111","Randolph County, AL","17,460","0","2,268","300","13.0","1.7","15,192","300","87.0","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01113","Russell County, AL","47,539","0","5,730","810","12.1","1.7","41,809","810","87.9","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01115","St. Clair County, AL","73,376","0","8,510","1,006","11.6","1.4","64,866","1,006","88.4","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01117","Shelby County, AL","183,878","0","17,077","1,757","9.3","1.0","166,801","1,757","90.7","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01119","Sumter County, AL","8,715","0","1,055","160","12.1","1.8","7,660","160","87.9","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01121","Talladega County, AL","60,657","0","7,026","833","11.6","1.4","53,631","833","88.4","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01123","Tallapoosa County, AL","30,052","0","4,076","491","13.6","1.6","25,976","491","86.4","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01125","Tuscaloosa County, AL","168,870","0","17,467","1,831","10.3","1.1","151,403","1,831","89.7","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01127","Walker County, AL","49,532","0","5,760","699","11.6","1.4","43,772","699","88.4","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01129","Washington County, AL","12,495","0","1,782","231","14.3","1.8","10,713","231","85.7","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01131","Wilcox County, AL","7,587","0","928","120","12.2","1.6","6,659","120","87.8","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","01133","Winston County, AL","17,935","0","2,434","299","13.6","1.7","15,501","299","86.4","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02000","Alaska","632,936","0","82,020","4,601","13.0","0.7","550,916","4,601","87.0","0.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02013","Aleutians East Borough, AK","3,156","0","655","96","20.8","3.0","2,501","96","79.2","3.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02016","Aleutians West Census Area, AK","5,247","0","1,092","138","20.8","2.6","4,155","138","79.2","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02020","Anchorage Borough, AK","252,419","0","27,512","1,933","10.9","0.8","224,907","1,933","89.1","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02050","Bethel Census Area, AK","17,144","0","3,307","348","19.3","2.0","13,837","348","80.7","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02060","Bristol Bay Borough, AK","640","0","116","16","18.1","2.5","524","16","81.9","2.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02063","Chugach Census Area, AK","5,569","0","830","110","14.9","2.0","4,739","110","85.1","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02066","Copper River Census Area, AK","2,375","0","374","52","15.7","2.2","2,001","52","84.3","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02068","Denali Borough, AK","1,763","0","221","32","12.5","1.8","1,542","32","87.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02070","Dillingham Census Area, AK","4,467","0","757","92","16.9","2.1","3,710","92","83.1","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02090","Fairbanks North Star Borough, AK","81,080","0","9,886","1,115","12.2","1.4","71,194","1,115","87.8","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02100","Haines Borough, AK","2,020","0","252","39","12.5","1.9","1,768","39","87.5","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02105","Hoonah-Angoon Census Area, AK","1,642","0","328","43","20.0","2.6","1,314","43","80.0","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02110","Juneau Borough, AK","27,185","0","2,815","341","10.4","1.3","24,370","341","89.6","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02122","Kenai Peninsula Borough, AK","47,213","0","6,611","700","14.0","1.5","40,602","700","86.0","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02130","Ketchikan Gateway Borough, AK","11,456","0","1,620","193","14.1","1.7","9,836","193","85.9","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02150","Kodiak Island Borough, AK","11,476","0","2,154","270","18.8","2.4","9,322","270","81.2","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02158","Kusilvak Census Area, AK","7,913","0","1,433","182","18.1","2.3","6,480","182","81.9","2.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02164","Lake and Peninsula Borough, AK","1,368","0","286","36","20.9","2.6","1,082","36","79.1","2.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02170","Matanuska-Susitna Borough, AK","95,023","0","12,499","1,083","13.2","1.1","82,524","1,083","86.8","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02180","Nome Census Area, AK","9,255","0","1,544","181","16.7","2.0","7,711","181","83.3","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02185","North Slope Borough, AK","8,884","0","1,388","177","15.6","2.0","7,496","177","84.4","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02188","Northwest Arctic Borough, AK","7,225","0","1,317","160","18.2","2.2","5,908","160","81.8","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02195","Petersburg Borough, AK","2,667","0","422","55","15.8","2.1","2,245","55","84.2","2.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02198","Prince of Wales-Hyder Census Area, AK","5,073","0","1,049","124","20.7","2.4","4,024","124","79.3","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02220","Sitka Borough, AK","7,078","0","985","125","13.9","1.8","6,093","125","86.1","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02230","Skagway Municipality, AK","1,010","0","152","22","15.0","2.2","858","22","85.0","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02240","Southeast Fairbanks Census Area, AK","5,837","0","1,012","127","17.3","2.2","4,825","127","82.7","2.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02275","Wrangell City and Borough, AK","1,890","0","353","45","18.7","2.4","1,537","45","81.3","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02282","Yakutat Borough, AK","532","0","119","16","22.4","3.0","413","16","77.6","3.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","02290","Yukon-Koyukuk Census Area, AK","4,329","0","931","106","21.5","2.4","3,398","106","78.5","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04000","Arizona","5,919,778","0","798,490","22,275","13.5","0.4","5,121,288","22,275","86.5","0.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04001","Apache County, AZ","61,404","0","11,431","1,253","18.6","2.0","49,973","1,253","81.4","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04003","Cochise County, AZ","91,449","0","11,690","1,441","12.8","1.6","79,759","1,441","87.2","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04005","Coconino County, AZ","114,435","0","17,982","1,901","15.7","1.7","96,453","1,901","84.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04007","Gila County, AZ","37,598","0","5,230","647","13.9","1.7","32,368","647","86.1","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04009","Graham County, AZ","30,858","0","4,456","576","14.4","1.9","26,402","576","85.6","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04011","Greenlee County, AZ","7,996","0","857","146","10.7","1.8","7,139","146","89.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04012","La Paz County, AZ","12,248","0","2,422","296","19.8","2.4","9,826","296","80.2","2.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04013","Maricopa County, AZ","3,801,789","0","506,323","13,651","13.3","0.4","3,295,466","13,651","86.7","0.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04015","Mohave County, AZ","143,045","0","20,698","2,293","14.5","1.6","122,347","2,293","85.5","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04017","Navajo County, AZ","89,896","0","14,731","1,533","16.4","1.7","75,165","1,533","83.6","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04019","Pima County, AZ","818,810","0","99,835","6,666","12.2","0.8","718,975","6,666","87.8","0.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04021","Pinal County, AZ","353,685","0","45,792","4,190","12.9","1.2","307,893","4,190","87.1","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04023","Santa Cruz County, AZ","36,992","0","7,095","924","19.2","2.5","29,897","924","80.8","2.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04025","Yavapai County, AZ","156,690","0","21,588","2,330","13.8","1.5","135,102","2,330","86.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","04027","Yuma County, AZ","162,883","0","28,360","2,802","17.4","1.7","134,523","2,802","82.6","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05000","Arkansas","2,408,633","0","244,865","11,077","10.2","0.5","2,163,768","11,077","89.8","0.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05001","Arkansas County, AR","13,417","0","1,100","165","8.2","1.2","12,317","165","91.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05003","Ashley County, AR","14,713","0","1,529","212","10.4","1.4","13,184","212","89.6","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05005","Baxter County, AR","28,703","0","2,705","378","9.4","1.3","25,998","378","90.6","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05007","Benton County, AR","251,977","0","25,236","2,380","10.0","0.9","226,741","2,380","90.0","0.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05009","Boone County, AR","29,204","0","3,020","425","10.3","1.5","26,184","425","89.7","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05011","Bradley County, AR","8,240","0","1,053","148","12.8","1.8","7,187","148","87.2","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05013","Calhoun County, AR","3,737","0","384","58","10.3","1.6","3,353","58","89.7","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05015","Carroll County, AR","21,100","0","3,037","416","14.4","2.0","18,063","416","85.6","2.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05017","Chicot County, AR","6,716","0","556","88","8.3","1.3","6,160","88","91.7","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05019","Clark County, AR","15,193","0","1,510","243","9.9","1.6","13,683","243","90.1","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05021","Clay County, AR","11,010","0","1,065","155","9.7","1.4","9,945","155","90.3","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05023","Cleburne County, AR","17,787","0","1,538","229","8.6","1.3","16,249","229","91.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05025","Cleveland County, AR","6,174","0","534","81","8.6","1.3","5,640","81","91.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05027","Columbia County, AR","16,788","0","1,637","256","9.8","1.5","15,151","256","90.2","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05029","Conway County, AR","16,483","0","1,357","203","8.2","1.2","15,126","203","91.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05031","Craighead County, AR","92,175","0","8,495","1,145","9.2","1.2","83,680","1,145","90.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05033","Crawford County, AR","51,757","0","6,217","793","12.0","1.5","45,540","793","88.0","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05035","Crittenden County, AR","38,206","0","3,445","484","9.0","1.3","34,761","484","91.0","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05037","Cross County, AR","12,672","0","1,168","175","9.2","1.4","11,504","175","90.8","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05039","Dallas County, AR","4,631","0","466","70","10.1","1.5","4,165","70","89.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05041","Desha County, AR","8,486","0","896","134","10.6","1.6","7,590","134","89.4","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05043","Drew County, AR","13,807","0","1,257","201","9.1","1.5","12,550","201","90.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05045","Faulkner County, AR","106,216","0","8,994","1,195","8.5","1.1","97,222","1,195","91.5","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05047","Franklin County, AR","14,083","0","1,422","216","10.1","1.5","12,661","216","89.9","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05049","Fulton County, AR","8,907","0","807","127","9.1","1.4","8,100","127","90.9","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05051","Garland County, AR","73,410","0","7,524","989","10.2","1.3","65,886","989","89.8","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05053","Grant County, AR","14,947","0","1,151","178","7.7","1.2","13,796","178","92.3","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05055","Greene County, AR","37,478","0","3,071","444","8.2","1.2","34,407","444","91.8","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05057","Hempstead County, AR","16,543","0","1,878","264","11.4","1.6","14,665","264","88.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05059","Hot Spring County, AR","24,725","0","2,192","328","8.9","1.3","22,533","328","91.1","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05061","Howard County, AR","10,375","0","1,162","166","11.2","1.6","9,213","166","88.8","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05063","Independence County, AR","29,934","0","2,970","439","9.9","1.5","26,964","439","90.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05065","Izard County, AR","9,135","0","767","118","8.4","1.3","8,368","118","91.6","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05067","Jackson County, AR","11,222","0","980","156","8.7","1.4","10,242","156","91.3","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05069","Jefferson County, AR","46,258","0","3,627","524","7.8","1.1","42,631","524","92.2","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05071","Johnson County, AR","21,086","0","2,642","371","12.5","1.8","18,444","371","87.5","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05073","Lafayette County, AR","4,729","0","555","83","11.7","1.8","4,174","83","88.3","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05075","Lawrence County, AR","12,551","0","1,123","171","8.9","1.4","11,428","171","91.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05077","Lee County, AR","4,900","0","388","59","7.9","1.2","4,512","59","92.1","1.2"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05079","Lincoln County, AR","7,330","0","622","98","8.5","1.3","6,708","98","91.5","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05081","Little River County, AR","9,372","0","806","126","8.6","1.3","8,566","126","91.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05083","Logan County, AR","16,567","0","1,481","228","8.9","1.4","15,086","228","91.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05085","Lonoke County, AR","63,202","0","5,026","687","8.0","1.1","58,176","687","92.0","1.1"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05087","Madison County, AR","13,172","0","1,544","227","11.7","1.7","11,628","227","88.3","1.7"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05089","Marion County, AR","11,704","0","1,131","171","9.7","1.5","10,573","171","90.3","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05091","Miller County, AR","33,953","0","3,115","450","9.2","1.3","30,838","450","90.8","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05093","Mississippi County, AR","32,241","0","3,199","458","9.9","1.4","29,042","458","90.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05095","Monroe County, AR","4,760","0","425","67","8.9","1.4","4,335","67","91.1","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05097","Montgomery County, AR","6,391","0","845","121","13.2","1.9","5,546","121","86.8","1.9"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05099","Nevada County, AR","6,123","0","497","83","8.1","1.4","5,626","83","91.9","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05101","Newton County, AR","5,423","0","414","69","7.6","1.3","5,009","69","92.4","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05103","Ouachita County, AR","17,453","0","1,479","226","8.5","1.3","15,974","226","91.5","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05105","Perry County, AR","8,062","0","762","116","9.5","1.4","7,300","116","90.5","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05107","Phillips County, AR","12,862","0","1,052","166","8.2","1.3","11,810","166","91.8","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05109","Pike County, AR","8,189","0","967","134","11.8","1.6","7,222","134","88.2","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05111","Poinsett County, AR","18,451","0","1,597","238","8.7","1.3","16,854","238","91.3","1.3"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05113","Polk County, AR","14,774","0","1,888","262","12.8","1.8","12,886","262","87.2","1.8"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05115","Pope County, AR","50,322","0","5,421","723","10.8","1.4","44,901","723","89.2","1.4"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05117","Prairie County, AR","5,899","0","585","89","9.9","1.5","5,314","89","90.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05119","Pulaski County, AR","316,407","0","31,894","3,055","10.1","1.0","284,513","3,055","89.9","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05121","Randolph County, AR","14,332","0","1,492","225","10.4","1.6","12,840","225","89.6","1.6"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05123","St. Francis County, AR","15,698","0","1,548","238","9.9","1.5","14,150","238","90.1","1.5"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05125","Saline County, AR","100,975","0","7,480","989","7.4","1.0","93,495","989","92.6","1.0"
"Under 65 years","All Incomes","All Races","Both Sexes","2020","05127","Scott County, AR","7,876","0","855","133","10.9","1.7","7,021","133","89.1","1.7"
