,Data Month,FIPS,State,State Name,County Name,Jan22 ACP Total Households
87,2022-01-01,02270,AK,ALASKA,WADE HAMPTON CENSUS AREA,32
88,2022-01-01,02275,AK,ALASKA,WRANGELL CITY AND BOROUGH,39
89,2022-01-01,02290,AK,ALASKA,YUKON-KOYUKUK CENSUS AREA,13
90,2022-01-01,02060,AK,ALASKA,BRISTOL BAY BOROUGH,4
91,2022-01-01,02105,AK,ALASKA,HOONAH-ANGOON CENSUS AREA,24
92,2022-01-01,02188,AK,ALASKA,NORTHWEST ARCTIC BOROUGH,52
93,2022-01-01,02,AK,ALASKA,**NOT AVAILABLE**,13
94,2022-01-01,02016,AK,ALASKA,ALEUTIANS WEST CENSUS AREA,1
95,2022-01-01,02068,AK,ALASKA,DENALI BOROUGH,4
96,2022-01-01,02164,AK,ALASKA,LAKE AND PENINSULA BOROUGH,5
97,2022-01-01,60010,AS,AMERICAN SAMOA,EASTERN DISTRICT,1920
98,2022-01-01,60,AS,AMERICAN SAMOA,**NOT AVAILABLE**,4
99,2022-01-01,04001,AZ,ARIZONA,APACHE COUNTY,12292
100,2022-01-01,04003,AZ,ARIZONA,COCHISE COUNTY,4337
101,2022-01-01,04005,AZ,ARIZONA,COCONINO COUNTY,4508
102,2022-01-01,04007,AZ,ARIZONA,GILA COUNTY,1076
103,2022-01-01,04009,AZ,ARIZONA,GRAHAM COUNTY,638
104,2022-01-01,04011,AZ,ARIZONA,GREENLEE COUNTY,56
105,2022-01-01,04012,AZ,ARIZONA,LA PAZ COUNTY,256
106,2022-01-01,04013,AZ,ARIZONA,MARICOPA COUNTY,111296
107,2022-01-01,04015,AZ,ARIZONA,MOHAVE COUNTY,5947
108,2022-01-01,04017,AZ,ARIZONA,NAVAJO COUNTY,12797
109,2022-01-01,04019,AZ,ARIZONA,PIMA COUNTY,40933
110,2022-01-01,04021,AZ,ARIZONA,PINAL COUNTY,9347
111,2022-01-01,04023,AZ,ARIZONA,SANTA CRUZ COUNTY,2086
112,2022-01-01,04025,AZ,ARIZONA,YAVAPAI COUNTY,3109
113,2022-01-01,04027,AZ,ARIZONA,YUMA COUNTY,12439
114,2022-01-01,04,AZ,ARIZONA,**NOT AVAILABLE**,511
115,2022-01-01,05001,AR,ARKANSAS,ARKANSAS COUNTY,585
116,2022-01-01,05003,AR,ARKANSAS,ASHLEY COUNTY,566
117,2022-01-01,05005,AR,ARKANSAS,BAXTER COUNTY,681
118,2022-01-01,05007,AR,ARKANSAS,BENTON COUNTY,3012
119,2022-01-01,05009,AR,ARKANSAS,BOONE COUNTY,869
120,2022-01-01,05011,AR,ARKANSAS,BRADLEY COUNTY,368
121,2022-01-01,05013,AR,ARKANSAS,CALHOUN COUNTY,117
122,2022-01-01,05015,AR,ARKANSAS,CARROLL COUNTY,573
123,2022-01-01,05017,AR,ARKANSAS,CHICOT COUNTY,478
124,2022-01-01,05019,AR,ARKANSAS,CLARK COUNTY,531
125,2022-01-01,05021,AR,ARKANSAS,CLAY COUNTY,328
126,2022-01-01,05023,AR,ARKANSAS,CLEBURNE COUNTY,495
127,2022-01-01,05025,AR,ARKANSAS,CLEVELAND COUNTY,162
128,2022-01-01,05027,AR,ARKANSAS,COLUMBIA COUNTY,1026
129,2022-01-01,05029,AR,ARKANSAS,CONWAY COUNTY,642
130,2022-01-01,05031,AR,ARKANSAS,CRAIGHEAD COUNTY,3780
131,2022-01-01,05033,AR,ARKANSAS,CRAWFORD COUNTY,2486
132,2022-01-01,05035,AR,ARKANSAS,CRITTENDEN COUNTY,2778
133,2022-01-01,05037,AR,ARKANSAS,CROSS COUNTY,627
134,2022-01-01,05039,AR,ARKANSAS,DALLAS COUNTY,219
135,2022-01-01,05041,AR,ARKANSAS,DESHA COUNTY,496
136,2022-01-01,05043,AR,ARKANSAS,DREW COUNTY,399
137,2022-01-01,05045,AR,ARKANSAS,FAULKNER COUNTY,2268
138,2022-01-01,05047,AR,ARKANSAS,FRANKLIN COUNTY,443
139,2022-01-01,05049,AR,ARKANSAS,FULTON COUNTY,201
140,2022-01-01,05051,AR,ARKANSAS,GARLAND COUNTY,3492
141,2022-01-01,05053,AR,ARKANSAS,GRANT COUNTY,366
142,2022-01-01,05055,AR,ARKANSAS,GREENE COUNTY,1840
143,2022-01-01,05057,AR,ARKANSAS,HEMPSTEAD COUNTY,832
144,2022-01-01,05059,AR,ARKANSAS,HOT SPRING COUNTY,978
145,2022-01-01,05061,AR,ARKANSAS,HOWARD COUNTY,345
146,2022-01-01,05063,AR,ARKANSAS,INDEPENDENCE COUNTY,667
147,2022-01-01,05065,AR,ARKANSAS,IZARD COUNTY,245
148,2022-01-01,05067,AR,ARKANSAS,JACKSON COUNTY,756
149,2022-01-01,05069,AR,ARKANSAS,JEFFERSON COUNTY,3978
150,2022-01-01,05071,AR,ARKANSAS,JOHNSON COUNTY,658
151,2022-01-01,05073,AR,ARKANSAS,LAFAYETTE COUNTY,241
152,2022-01-01,05075,AR,ARKANSAS,LAWRENCE COUNTY,523
153,2022-01-01,05077,AR,ARKANSAS,LEE COUNTY,426
154,2022-01-01,05079,AR,ARKANSAS,LINCOLN COUNTY,349
155,2022-01-01,05081,AR,ARKANSAS,LITTLE RIVER COUNTY,267
156,2022-01-01,05083,AR,ARKANSAS,LOGAN COUNTY,445
157,2022-01-01,05085,AR,ARKANSAS,LONOKE COUNTY,1454
158,2022-01-01,05087,AR,ARKANSAS,MADISON COUNTY,276
159,2022-01-01,05089,AR,ARKANSAS,MARION COUNTY,301
160,2022-01-01,05091,AR,ARKANSAS,MILLER COUNTY,1975
161,2022-01-01,05093,AR,ARKANSAS,MISSISSIPPI COUNTY,2343
162,2022-01-01,05095,AR,ARKANSAS,MONROE COUNTY,426
163,2022-01-01,05097,AR,ARKANSAS,MONTGOMERY COUNTY,191
164,2022-01-01,05099,AR,ARKANSAS,NEVADA COUNTY,272
165,2022-01-01,05101,AR,ARKANSAS,NEWTON COUNTY,86
166,2022-01-01,05103,AR,ARKANSAS,OUACHITA COUNTY,1031
167,2022-01-01,05105,AR,ARKANSAS,PERRY COUNTY,272
168,2022-01-01,05107,AR,ARKANSAS,PHILLIPS COUNTY,1069
169,2022-01-01,05109,AR,ARKANSAS,PIKE COUNTY,279
170,2022-01-01,05111,AR,ARKANSAS,POINSETT COUNTY,1357
171,2022-01-01,05113,AR,ARKANSAS,POLK COUNTY,491
172,2022-01-01,05115,AR,ARKANSAS,POPE COUNTY,1283
173,2022-01-01,05117,AR,ARKANSAS,PRAIRIE COUNTY,188
174,2022-01-01,05119,AR,ARKANSAS,PULASKI COUNTY,16136
175,2022-01-01,05121,AR,ARKANSAS,RANDOLPH COUNTY,426
176,2022-01-01,05123,AR,ARKANSAS,ST. FRANCIS COUNTY,1290
177,2022-01-01,05125,AR,ARKANSAS,SALINE COUNTY,1919
178,2022-01-01,05127,AR,ARKANSAS,SCOTT COUNTY,267
179,2022-01-01,05129,AR,ARKANSAS,SEARCY COUNTY,136
180,2022-01-01,05131,AR,ARKANSAS,SEBASTIAN COUNTY,5956
181,2022-01-01,05133,AR,ARKANSAS,SEVIER COUNTY,466
182,2022-01-01,05135,AR,ARKANSAS,SHARP COUNTY,385
183,2022-01-01,05137,AR,ARKANSAS,STONE COUNTY,224
184,2022-01-01,05139,AR,ARKANSAS,UNION COUNTY,1414
185,2022-01-01,05141,AR,ARKANSAS,VAN BUREN COUNTY,332
186,2022-01-01,05143,AR,ARKANSAS,WASHINGTON COUNTY,3979
187,2022-01-01,05145,AR,ARKANSAS,WHITE COUNTY,2139
188,2022-01-01,05147,AR,ARKANSAS,WOODRUFF COUNTY,300
189,2022-01-01,05149,AR,ARKANSAS,YELL COUNTY,333
190,2022-01-01,05,AR,ARKANSAS,**NOT AVAILABLE**,310
191,2022-01-01,06001,CA,CALIFORNIA,ALAMEDA COUNTY,29385
192,2022-01-01,06005,CA,CALIFORNIA,AMADOR COUNTY,473
193,2022-01-01,06007,CA,CALIFORNIA,BUTTE COUNTY,7852
194,2022-01-01,06009,CA,CALIFORNIA,CALAVERAS COUNTY,610
195,2022-01-01,06011,CA,CALIFORNIA,COLUSA COUNTY,370
196,2022-01-01,06013,CA,CALIFORNIA,CONTRA COSTA COUNTY,16704
197,2022-01-01,06015,CA,CALIFORNIA,DEL NORTE COUNTY,1200
198,2022-01-01,06017,CA,CALIFORNIA,EL DORADO COUNTY,2132
199,2022-01-01,06019,CA,CALIFORNIA,FRESNO COUNTY,48714
200,2022-01-01,06021,CA,CALIFORNIA,GLENN COUNTY,767
201,2022-01-01,06023,CA,CALIFORNIA,HUMBOLDT COUNTY,2636
202,2022-01-01,06025,CA,CALIFORNIA,IMPERIAL COUNTY,15469
203,2022-01-01,06027,CA,CALIFORNIA,INYO COUNTY,141
204,2022-01-01,06029,CA,CALIFORNIA,KERN COUNTY,50757
205,2022-01-01,06031,CA,CALIFORNIA,KINGS COUNTY,5462
206,2022-01-01,06033,CA,CALIFORNIA,LAKE COUNTY,1930
207,2022-01-01,06035,CA,CALIFORNIA,LASSEN COUNTY,342
208,2022-01-01,06037,CA,CALIFORNIA,LOS ANGELES COUNTY,379667
209,2022-01-01,06039,CA,CALIFORNIA,MADERA COUNTY,5461
210,2022-01-01,06041,CA,CALIFORNIA,MARIN COUNTY,2308
211,2022-01-01,06043,CA,CALIFORNIA,MARIPOSA COUNTY,271
212,2022-01-01,06045,CA,CALIFORNIA,MENDOCINO COUNTY,1507
213,2022-01-01,06047,CA,CALIFORNIA,MERCED COUNTY,11972
214,2022-01-01,06049,CA,CALIFORNIA,MODOC COUNTY,124
215,2022-01-01,06051,CA,CALIFORNIA,MONO COUNTY,22
216,2022-01-01,06053,CA,CALIFORNIA,MONTEREY COUNTY,10283
217,2022-01-01,06055,CA,CALIFORNIA,NAPA COUNTY,1365
218,2022-01-01,06057,CA,CALIFORNIA,NEVADA COUNTY,1139
219,2022-01-01,06059,CA,CALIFORNIA,ORANGE COUNTY,65674
220,2022-01-01,06061,CA,CALIFORNIA,PLACER COUNTY,3521
221,2022-01-01,06063,CA,CALIFORNIA,PLUMAS COUNTY,177
222,2022-01-01,06065,CA,CALIFORNIA,RIVERSIDE COUNTY,71606
223,2022-01-01,06067,CA,CALIFORNIA,SACRAMENTO COUNTY,53603
224,2022-01-01,06069,CA,CALIFORNIA,SAN BENITO COUNTY,944
225,2022-01-01,06071,CA,CALIFORNIA,SAN BERNARDINO COUNTY,89272
226,2022-01-01,06073,CA,CALIFORNIA,SAN DIEGO COUNTY,88800
227,2022-01-01,06075,CA,CALIFORNIA,SAN FRANCISCO COUNTY,20411
228,2022-01-01,06077,CA,CALIFORNIA,SAN JOAQUIN COUNTY,27307
229,2022-01-01,06079,CA,CALIFORNIA,SAN LUIS OBISPO COUNTY,3672
230,2022-01-01,06081,CA,CALIFORNIA,SAN MATEO COUNTY,5421
231,2022-01-01,06083,CA,CALIFORNIA,SANTA BARBARA COUNTY,8060
232,2022-01-01,06085,CA,CALIFORNIA,SANTA CLARA COUNTY,25931
233,2022-01-01,06087,CA,CALIFORNIA,SANTA CRUZ COUNTY,4377
234,2022-01-01,06089,CA,CALIFORNIA,SHASTA COUNTY,6602
235,2022-01-01,06091,CA,CALIFORNIA,SIERRA COUNTY,12
236,2022-01-01,06093,CA,CALIFORNIA,SISKIYOU COUNTY,1572
237,2022-01-01,06095,CA,CALIFORNIA,SOLANO COUNTY,8655
238,2022-01-01,06097,CA,CALIFORNIA,SONOMA COUNTY,5589
239,2022-01-01,06099,CA,CALIFORNIA,STANISLAUS COUNTY,26420
240,2022-01-01,06101,CA,CALIFORNIA,SUTTER COUNTY,3335
241,2022-01-01,06103,CA,CALIFORNIA,TEHAMA COUNTY,2339
242,2022-01-01,06105,CA,CALIFORNIA,TRINITY COUNTY,60
243,2022-01-01,06107,CA,CALIFORNIA,TULARE COUNTY,19356
244,2022-01-01,06109,CA,CALIFORNIA,TUOLUMNE COUNTY,895
245,2022-01-01,06111,CA,CALIFORNIA,VENTURA COUNTY,17449
246,2022-01-01,06113,CA,CALIFORNIA,YOLO COUNTY,4412
247,2022-01-01,06115,CA,CALIFORNIA,YUBA COUNTY,3923
248,2022-01-01,06,CA,CALIFORNIA,**NOT AVAILABLE**,132
249,2022-01-01,06003,CA,CALIFORNIA,ALPINE COUNTY,2
250,2022-01-01,08001,CO,COLORADO,ADAMS COUNTY,10338
251,2022-01-01,08003,CO,COLORADO,ALAMOSA COUNTY,728
252,2022-01-01,08005,CO,COLORADO,ARAPAHOE COUNTY,10682
253,2022-01-01,08007,CO,COLORADO,ARCHULETA COUNTY,71
254,2022-01-01,08009,CO,COLORADO,BACA COUNTY,43
255,2022-01-01,08011,CO,COLORADO,BENT COUNTY,213
256,2022-01-01,08013,CO,COLORADO,BOULDER COUNTY,4119
257,2022-01-01,08014,CO,COLORADO,BROOMFIELD COUNTY,454
258,2022-01-01,08015,CO,COLORADO,CHAFFEE COUNTY,207
259,2022-01-01,08019,CO,COLORADO,CLEAR CREEK COUNTY,103
260,2022-01-01,08021,CO,COLORADO,CONEJOS COUNTY,93
261,2022-01-01,08025,CO,COLORADO,CROWLEY COUNTY,113
262,2022-01-01,08027,CO,COLORADO,CUSTER COUNTY,32
263,2022-01-01,08029,CO,COLORADO,Net New Enrollments COUNTY,711
264,2022-01-01,08031,CO,COLORADO,DENVER COUNTY,20689
265,2022-01-01,08035,CO,COLORADO,DOUGLAS COUNTY,1241
266,2022-01-01,08037,CO,COLORADO,EAGLE COUNTY,127
267,2022-01-01,08039,CO,COLORADO,ELBERT COUNTY,77
268,2022-01-01,08041,CO,COLORADO,EL PASO COUNTY,14249
269,2022-01-01,08043,CO,COLORADO,FREMONT COUNTY,1705
270,2022-01-01,08045,CO,COLORADO,GARFIELD COUNTY,621
271,2022-01-01,08047,CO,COLORADO,GILPIN COUNTY,28
272,2022-01-01,08049,CO,COLORADO,GRAND COUNTY,66
273,2022-01-01,08051,CO,COLORADO,GUNNISON COUNTY,159
274,2022-01-01,08055,CO,COLORADO,HUERFANO COUNTY,367
275,2022-01-01,08059,CO,COLORADO,JEFFERSON COUNTY,7766
276,2022-01-01,08063,CO,COLORADO,KIT CARSON COUNTY,39
277,2022-01-01,08065,CO,COLORADO,LAKE COUNTY,115
278,2022-01-01,08067,CO,COLORADO,LA PLATA COUNTY,654
279,2022-01-01,08069,CO,COLORADO,LARIMER COUNTY,4759
280,2022-01-01,08071,CO,COLORADO,LAS ANIMAS COUNTY,524
281,2022-01-01,08073,CO,COLORADO,LINCOLN COUNTY,49
282,2022-01-01,08075,CO,COLORADO,LOGAN COUNTY,736
283,2022-01-01,08077,CO,COLORADO,MESA COUNTY,5480
284,2022-01-01,08081,CO,COLORADO,MOFFAT COUNTY,357
285,2022-01-01,08083,CO,COLORADO,MONTEZUMA COUNTY,447
286,2022-01-01,08085,CO,COLORADO,MONTROSE COUNTY,949
287,2022-01-01,08087,CO,COLORADO,MORGAN COUNTY,679
288,2022-01-01,08089,CO,COLORADO,OTERO COUNTY,1190
289,2022-01-01,08091,CO,COLORADO,OURAY COUNTY,11
290,2022-01-01,08093,CO,COLORADO,PARK COUNTY,88
291,2022-01-01,08095,CO,COLORADO,PHILLIPS COUNTY,31
292,2022-01-01,08097,CO,COLORADO,PITKIN COUNTY,44
293,2022-01-01,08099,CO,COLORADO,PROWERS COUNTY,497
294,2022-01-01,08101,CO,COLORADO,PUEBLO COUNTY,9535
295,2022-01-01,08103,CO,COLORADO,RIO BLANCO COUNTY,41
296,2022-01-01,08105,CO,COLORADO,RIO GRANDE COUNTY,346
297,2022-01-01,08107,CO,COLORADO,ROUTT COUNTY,55
298,2022-01-01,08109,CO,COLORADO,SAGUACHE COUNTY,79
299,2022-01-01,08113,CO,COLORADO,SAN MIGUEL COUNTY,22
300,2022-01-01,08115,CO,COLORADO,SEDGWICK COUNTY,41
301,2022-01-01,08117,CO,COLORADO,SUMMIT COUNTY,100
302,2022-01-01,08119,CO,COLORADO,TELLER COUNTY,196
303,2022-01-01,08121,CO,COLORADO,WASHINGTON COUNTY,25
304,2022-01-01,08123,CO,COLORADO,WELD COUNTY,5384
305,2022-01-01,08125,CO,COLORADO,YUMA COUNTY,25
306,2022-01-01,08,CO,COLORADO,**NOT AVAILABLE**,201
307,2022-01-01,08023,CO,COLORADO,COSTILLA COUNTY,47
308,2022-01-01,08033,CO,COLORADO,DOLORES COUNTY,9
309,2022-01-01,08017,CO,COLORADO,CHEYENNE COUNTY,6
310,2022-01-01,08061,CO,COLORADO,KIOWA COUNTY,8
311,2022-01-01,08079,CO,COLORADO,MINERAL COUNTY,2
312,2022-01-01,08057,CO,COLORADO,JACKSON COUNTY,4
313,2022-01-01,09001,CT,CONNECTICUT,FAIRFIELD COUNTY,15784
314,2022-01-01,09003,CT,CONNECTICUT,HARTFORD COUNTY,35586
315,2022-01-01,09005,CT,CONNECTICUT,LITCHFIELD COUNTY,2922
316,2022-01-01,09007,CT,CONNECTICUT,MIDDLESEX COUNTY,2745
317,2022-01-01,09009,CT,CONNECTICUT,NEW HAVEN COUNTY,31762
318,2022-01-01,09011,CT,CONNECTICUT,NEW LONDON COUNTY,6384
319,2022-01-01,09013,CT,CONNECTICUT,TOLLAND COUNTY,2202
320,2022-01-01,09015,CT,CONNECTICUT,WINDHAM COUNTY,3546
321,2022-01-01,09,CT,CONNECTICUT,**NOT AVAILABLE**,27
322,2022-01-01,10001,DE,DELAWARE,KENT COUNTY,4276
323,2022-01-01,10003,DE,DELAWARE,NEW CASTLE COUNTY,11865
324,2022-01-01,10005,DE,DELAWARE,SUSSEX COUNTY,3697
325,2022-01-01,10,DE,DELAWARE,**NOT AVAILABLE**,7
326,2022-01-01,11001,DC,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,32119
327,2022-01-01,12001,FL,FLORIDA,ALACHUA COUNTY,10653
328,2022-01-01,12003,FL,FLORIDA,BAKER COUNTY,785
329,2022-01-01,12005,FL,FLORIDA,BAY COUNTY,5014
330,2022-01-01,12007,FL,FLORIDA,BRADFORD COUNTY,1024
331,2022-01-01,12009,FL,FLORIDA,BREVARD COUNTY,18132
332,2022-01-01,12011,FL,FLORIDA,BROWARD COUNTY,39266
333,2022-01-01,12013,FL,FLORIDA,CALHOUN COUNTY,468
334,2022-01-01,12015,FL,FLORIDA,CHARLOTTE COUNTY,2639
335,2022-01-01,12017,FL,FLORIDA,CITRUS COUNTY,6817
336,2022-01-01,12019,FL,FLORIDA,CLAY COUNTY,3220
337,2022-01-01,12021,FL,FLORIDA,COLLIER COUNTY,2585
338,2022-01-01,12023,FL,FLORIDA,COLUMBIA COUNTY,3085
339,2022-01-01,12027,FL,FLORIDA,DESOTO COUNTY,788
340,2022-01-01,12029,FL,FLORIDA,DIXIE COUNTY,933
341,2022-01-01,12031,FL,FLORIDA,DUVAL COUNTY,36941
342,2022-01-01,12033,FL,FLORIDA,ESCAMBIA COUNTY,13477
343,2022-01-01,12035,FL,FLORIDA,FLAGLER COUNTY,2714
344,2022-01-01,12037,FL,FLORIDA,FRANKLIN COUNTY,212
345,2022-01-01,12039,FL,FLORIDA,GADSDEN COUNTY,2885
346,2022-01-01,12041,FL,FLORIDA,GILCHRIST COUNTY,427
347,2022-01-01,12043,FL,FLORIDA,GLADES COUNTY,282
348,2022-01-01,12045,FL,FLORIDA,GULF COUNTY,276
349,2022-01-01,12047,FL,FLORIDA,HAMILTON COUNTY,645
350,2022-01-01,12049,FL,FLORIDA,HARDEE COUNTY,936
351,2022-01-01,12051,FL,FLORIDA,HENDRY COUNTY,1551
352,2022-01-01,12053,FL,FLORIDA,HERNANDO COUNTY,8190
353,2022-01-01,12055,FL,FLORIDA,HIGHLANDS COUNTY,3945
354,2022-01-01,12057,FL,FLORIDA,HILLSBOROUGH COUNTY,69662
355,2022-01-01,12059,FL,FLORIDA,HOLMES COUNTY,631
356,2022-01-01,12061,FL,FLORIDA,INDIAN RIVER COUNTY,3185
357,2022-01-01,12063,FL,FLORIDA,JACKSON COUNTY,2307
358,2022-01-01,12065,FL,FLORIDA,JEFFERSON COUNTY,484
359,2022-01-01,12067,FL,FLORIDA,LAFAYETTE COUNTY,258
360,2022-01-01,12069,FL,FLORIDA,LAKE COUNTY,9069
361,2022-01-01,12071,FL,FLORIDA,LEE COUNTY,12437
362,2022-01-01,12073,FL,FLORIDA,LEON COUNTY,9622
363,2022-01-01,12075,FL,FLORIDA,LEVY COUNTY,1678
364,2022-01-01,12077,FL,FLORIDA,LIBERTY COUNTY,198
365,2022-01-01,12079,FL,FLORIDA,MADISON COUNTY,910
366,2022-01-01,12081,FL,FLORIDA,MANATEE COUNTY,10581
367,2022-01-01,12083,FL,FLORIDA,MARION COUNTY,15635
368,2022-01-01,12085,FL,FLORIDA,MARTIN COUNTY,1773
369,2022-01-01,12086,FL,FLORIDA,MIAMI-DADE COUNTY,104886
370,2022-01-01,12087,FL,FLORIDA,MONROE COUNTY,672
371,2022-01-01,12089,FL,FLORIDA,NASSAU COUNTY,1349
372,2022-01-01,12091,FL,FLORIDA,OKALOOSA COUNTY,3321
373,2022-01-01,12093,FL,FLORIDA,OKEECHOBEE COUNTY,1473
374,2022-01-01,12095,FL,FLORIDA,ORANGE COUNTY,58161
